ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
6559,,,,หลักเส,น.,หลักเขตแสดงเครื่องหมายที่ฝังศพ
6560,หลังคาขยาบ,,,,น.,เครื่องกันแดดและฝนที่เลื่อนเข้าออกจากประทุนเรือได้
6561,,หลังคาซ้อน,หลังคาชด,,น.,หลังคาที่มีหลายชั้นหรือสร้างซ้อนกันให้มีหลายระดับ
6562,หลังชนกัน/  พิงหลังกัน,หลังชนกัน/  หลังพิงกัน/  จอหลัง/  ทับหลัง/  พิงหลัง/  ต่อหลัง,หลังชนกัน/  หลังจนกัน/  หันหลังชนกัน/  หลังเทิงกัน,หลังชนกัน/  หลังซนกัน/  นั่งพิงกัน/  หันหลังใส่กัน,ก.,นั่งเอาหลังอิงกัน
6563,หลังเท้า/  ฝ่าเท้า/  ฝ่าตีน,หลังเท้า/  หลังตีน,หลังเท้า/  หลังตีน,หลังเท้า/  หลังตีน,น.,ส่วนของหลังเท้า หรือด้านบนของเท้า
6564,หลังพระวิหาร,ผนัง,ปางเอก,หลังพระวิหาร,น.,ผนังด้านหลังวิหาร
6565,หลังมือ,หลังมือ,หลังมือ,หลังมือ,น.,ส่วนของมือด้านบน
6566,,หลาเปรต,,,น.,ศาลาที่ใช้วางอาหารสำหรับวิญญาณหรือเปรต โดยทำเป็นร้านสูงพอสมควร ใช้ในประเพณีบุญเดือนสิบ
6567,,หล้าโป้/  ม้อ,,,น.,ที่ทอดสมอเรือ
6568,หลาว/  กระวาน/  เจียะ/  เรียว,ลาว/  ปุดใหญ่,,,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง ออกดอกสีขาว เป็นช่อ ผลอ่อน ใช้รับประทานเป็นผักสด
6569,หลิว,หวิว/  ลิ่ว,หลิว,หลิว,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางชนิดหนึ่ง กิ่งก้านห้อยย้อย ใบรูปหอกแคบเล็กเรียวแหลม ดูเป็นฝอย สีเขียว ท้องใบสีขาว ออกดอกเดี่ยวแยกต้นตัวผู้ ตัวเมีย กิ่ง ดอก และยอดอ่อน ใช้เป็นยา
6570,หลุม,หลุม/  หลุมฝัง,หลุม,ขุมผี/  เบ้า,น.,หลุมที่ใช้ฝังศพ
6571,หลุม/  กะหลุก,หลุม/  ลุ่ม,หลุมบ่อ/  กะบั๊ว/  ขุม/  โม่ง,หลุม/  หลุมน้อย/  บวกน้อย/  ขุมน้อย,น.,แอ่งเล็กๆ บนพื้นดิน ท้องถนน ท้องนา ถ้าฝนตก จะทำให้เกิดนํ้าขัง
6572,หลุมโจน/  หลุมไห/  หลุมขวาก,หลุมวิ่ง/  หลุมแห้ง/  หลุมล่อปลา,หลุมโจน/  หลุมดักปลา,หลุมปลา/  หลุมดักปลา/  หลุมปลาบืน/  หลุมพ่าง/  จั่น,น.,หลุมที่ล่อไว้ให้ปลากระโดดลง
6573,หลุมใน,หลุม,ในครก,หลุม,น.,ส่วนของครก ที่เป็นหลุม สำหรับตำ
6574,หลุมบ่อ/  หลุมโจน,ทอน/  หลุมแห้ง,หลุม,หลุมล่อปลา/  หลุมดักปลา/  แอ๊ว/  ขุมล่อปลา/  ฮ้างหลุม,น.,แอ่งที่ขุดขึ้นสำหรับล่อปลา
6575,หลุมปลูก,หลุมปลูก,หลุม,,น.,หลุมที่ขุดเพื่อปลูกต้นไม้บนสันร่องนํ้า
6576,หลุมพราง/  พรางช้าง,,,,ก.,จับช้างป่าโดยวิธีขุดดินเป็นหลุมกว้างพอดีกับตัวช้าง แล้วกลบด้วยใบไม้หรือใบหญ้า เพื่อให้ช้างตกลงไป
6577,หลุมแม่มอง/  หลุมปลายกระเดื่อง/  หลุม,หลุมแม่มอง/  หลุม,หลุมมอง/  หลุมดิน/  หลุม,หลุมครก/  หลุม,น.,หลุมดินบริเวณใต้หางแม่มองของครกกระเดื่อง
